COD. UF;COD. MUNIC;POPULAÇÃO ESTIMADA;;;;;;
17;07108;7297;;;;;;
17;07207;6395;;;;;;
17;07306;4321;;;;;;
17;07405;7493;;;;;;
17;07553;3520;;;;;;
17;07652;5336;;;;;;
17;07702;7823;;;;;;
17;08205;19428;;;;;;
17;08254;3676;;;;;;
17;08304;4840;;;;;;
17;09005;12816;;;;;;
17;09302;25681;;;;;;
17;09500;89574;;;;;;
17;09807;1627;;;;;;
17;10508;6969;;;;;;
17;10706;5206;;;;;;
17;10904;3679;;;;;;
17;11100;2464;;;;;;
17;11506;3403;;;;;;
17;11803;2305;;;;;;
17;11902;16312;;;;;;
17;11951;3610;;;;;;
17;12009;3520;;;;;;
17;12157;1673;;;;;;
17;12405;2991;;;;;;
17;12454;2803;;;;;;
17;12504;4772;;;;;;
17;12702;2888;;;;;;
17;12801;3171;;;;;;
17;13205;18787;;;;;;
17;13304;13056;;;;;;
17;13601;5722;;;;;;
17;13700;2500;;;;;;
17;13809;4897;;;;;;
17;13957;3485;;;;;;
17;14203;8961;;;;;;
17;14302;4660;;;;;;
17;14880;10609;;;;;;
17;15002;3403;;;;;;
17;15101;4102;;;;;;
17;15150;1841;;;;;;
17;15259;2263;;;;;;
17;15507;1211;;;;;;
17;15705;4909;;;;;;
17;15754;7119;;;;;;
17;16109;55164;;;;;;
17;16208;10854;;;;;;
17;16307;4085;;;;;;
17;16505;14731;;;;;;
17;16604;9438;;;;;;
17;16653;5038;;;;;;
17;16703;9158;;;;;;
17;17008;4596;;;;;;
17;17206;2265;;;;;;
17;17503;7375;;;;;;
17;17800;4295;;;;;;
17;17909;7842;;;;;;
17;18006;2953;;;;;;
17;18204;68555;;;;;;
17;18303;9460;;;;;;
17;18402;3051;;;;;;
17;18451;2231;;;;;;
17;18501;3471;;;;;;
17;18550;4039;;;;;;
17;18659;1822;;;;;;
17;18709;2833;;;;;;
17;18758;4798;;;;;;
17;18808;4372;;;;;;
17;18840;3873;;;;;;
17;18865;7489;;;;;;
17;18881;2726;;;;;;
17;18899;2291;;;;;;
17;18907;4789;;;;;;
17;19004;2889;;;;;;
17;20002;2463;;;;;;
17;20101;5936;;;;;;
17;20150;1875;;;;;;
17;20200;13939;;;;;;
17;20259;2385;;;;;;
17;20309;4189;;;;;;
17;20499;4547;;;;;;
17;20655;5252;;;;;;
17;20804;11334;;;;;;
17;20853;1599;;;;;;
17;20903;14247;;;;;;
17;20937;2086;;;;;;
17;20978;2509;;;;;;
17;21000;323625;;;;;;
17;21109;7751;;;;;;
17;21208;23203;;;;;;
17;21257;2003;;;;;;
17;21307;1897;;;;;;
17;22081;10751;;;;;;
17;22107;10683;;;;;;
21;00055;110506;;;;;;
21;00105;6296;;;;;;
21;00154;12446;;;;;;
21;00204;18774;;;;;;
21;00303;23782;;;;;;
21;00402;6565;;;;;;
21;00436;24543;;;;;;
21;00477;26411;;;;;;
21;00501;11382;;;;;;
21;00550;7364;;;;;;
21;00600;38333;;;;;;
21;00709;26221;;;;;;
21;00808;14111;;;;;;
21;00832;17984;;;;;;
21;00873;11347;;;;;;
21;00907;40278;;;;;;
21;00956;26191;;;;;;
21;01004;30521;;;;;;
21;01103;12079;;;;;;
21;01202;107620;;;;;;
21;01251;17414;;;;;;
21;01301;16610;;;;;;
21;01350;5374;;;;;;
21;01400;106094;;;;;;
21;01509;19458;;;;;;
21;01608;87672;;;;;;
21;01707;67999;;;;;;
21;01731;8716;;;;;;
21;01772;12073;;;;;;
21;01806;5597;;;;;;
21;01905;19983;;;;;;
21;01939;5983;;;;;;
21;01970;7769;;;;;;
21;02002;34035;;;;;;
21;02036;29588;;;;;;
21;02077;12414;;;;;;
21;02101;35322;;;;;;
21;02150;9387;;;;;;
21;02200;30799;;;;;;
21;02309;22940;;;;;;
21;02325;56896;;;;;;
21;02358;13157;;;;;;
21;02374;10004;;;;;;
21;02408;10342;;;;;;
21;02507;16711;;;;;;
21;02556;12553;;;;;;
21;02606;20413;;;;;;
21;02705;24976;;;;;;
21;02754;11664;;;;;;
21;02804;24606;;;;;;
21;02903;24855;;;;;;
21;03000;163428;;;;;;
21;03109;10444;;;;;;
21;03125;7233;;;;;;
21;03158;12668;;;;;;
21;03174;16529;;;;;;
21;03208;84202;;;;;;
21;03257;13152;;;;;;
21;03307;118295;;;;;;
21;03406;42918;;;;;;
21;03505;41745;;;;;;
21;03554;15264;;;;;;
21;03604;61351;;;;;;
21;03703;32608;;;;;;
21;03752;14788;;;;;;
21;03802;23579;;;;;;
21;03901;10448;;;;;;
21;04008;18725;;;;;;
21;04057;34353;;;;;;
21;04073;8236;;;;;;
21;04081;11184;;;;;;
21;04099;18133;;;;;;
21;04107;12951;;;;;;
21;04206;17346;;;;;;
21;04305;10422;;;;;;
21;04404;17579;;;;;;
21;04503;10472;;;;;;
21;04552;18908;;;;;;
21;04602;14258;;;;;;
21;04628;7219;;;;;;
21;04651;10981;;;;;;
21;04677;23563;;;;;;
21;04701;6161;;;;;;
21;04800;76578;;;;;;
21;04909;10470;;;;;;
21;05005;26546;;;;;;
21;05104;25332;;;;;;
21;05153;14350;;;;;;
21;05203;10463;;;;;;
21;05302;285146;;;;;;
21;05351;14143;;;;;;
21;05401;62269;;;;;;
21;05427;22934;;;;;;
21;05450;7610;;;;;;
21;05476;17499;;;;;;
21;05500;25287;;;;;;
21;05609;15235;;;;;;
21;05658;5275;;;;;;
21;05708;45875;;;;;;
21;05807;9700;;;;;;
21;05906;15077;;;;;;
21;05922;10809;;;;;;
21;05948;8961;;;;;;
21;05963;11710;;;;;;
21;05989;7227;;;;;;
21;06003;11558;;;;;;
21;06102;11876;;;;;;
21;06201;7351;;;;;;
21;06300;14001;;;;;;
21;06326;21686;;;;;;
21;06359;7165;;;;;;
21;06375;14086;;;;;;
21;06409;17537;;;;;;
21;06508;22530;;;;;;
21;06607;33300;;;;;;
21;06631;17945;;;;;;
21;06672;9048;;;;;;
21;06706;21518;;;;;;
21;06755;24377;;;;;;
21;06805;14297;;;;;;
21;06904;28606;;;;;;
21;07001;9309;;;;;;
21;07100;18994;;;;;;
21;07209;14551;;;;;;
21;07258;5144;;;;;;
21;07308;4412;;;;;;
21;07357;14468;;;;;;
21;07407;18295;;;;;;
21;07456;13909;;;;;;
21;07506;152306;;;;;;
21;07605;21606;;;;;;
21;07704;18619;;;;;;
21;07803;32256;;;;;;
21;07902;17592;;;;;;
21;08009;19246;;;;;;
21;08058;17523;;;;;;
21;08108;20792;;;;;;
21;08207;38267;;;;;;
21;08256;24917;;;;;;
21;08306;33534;;;;;;
21;08405;11277;;;;;;
21;08454;20910;;;;;;
21;08504;32521;;;;;;
21;08603;87919;;;;;;
21;08702;22369;;;;;;
21;08801;18120;;;;;;
21;08900;17444;;;;;;
21;09007;24517;;;;;;
21;09056;6091;;;;;;
21;09106;46578;;;;;;
21;09205;11616;;;;;;
21;09239;4748;;;;;;
21;09270;17913;;;;;;
21;09304;10791;;;;;;
21;09403;13922;;;;;;
21;09452;32054;;;;;;
21;09502;22699;;;;;;
21;09551;7597;;;;;;
21;09601;39763;;;;;;
21;09700;5701;;;;;;
21;09759;6839;;;;;;
21;09809;43112;;;;;;
21;09908;88167;;;;;;
21;10005;59037;;;;;;
21;10039;24870;;;;;;
21;10104;24489;;;;;;
21;10203;38446;;;;;;
21;10237;10777;;;;;;
21;10278;14280;;;;;;
21;10302;14623;;;;;;
21;10401;18793;;;;;;
21;10500;48036;;;;;;
21;10609;27887;;;;;;
21;10658;8213;;;;;;
21;10708;35221;;;;;;
21;10807;4495;;;;;;
21;10856;9222;;;;;;
21;10906;12353;;;;;;
21;11003;18909;;;;;;
21;11029;12421;;;;;;
21;11052;10105;;;;;;
21;11078;17254;;;;;;
21;11102;25891;;;;;;
21;11201;257414;;;;;;
21;11250;7102;;;;;;
21;11300;1088057;;;;;;
21;11409;18153;;;;;;
21;11508;40160;;;;;;
21;11532;14736;;;;;;
21;11573;5965;;;;;;
21;11607;19129;;;;;;
21;11631;5767;;;;;;
21;11672;4602;;;;;;
21;11706;19885;;;;;;
21;11722;8880;;;;;;
21;11748;10445;;;;;;
21;11763;15035;;;;;;
21;11789;10461;;;;;;
21;11805;17457;;;;;;
21;11904;10471;;;;;;
21;11953;5088;;;;;;
21;12001;9106;;;;;;
21;12100;27344;;;;;;
21;12209;182241;;;;;;
21;12233;23052;;;;;;
21;12274;5633;;;;;;
21;12308;37401;;;;;;
21;12407;38905;;;;;;
21;12456;33032;;;;;;
21;12506;55041;;;;;;
21;12605;34060;;;;;;
21;12704;44540;;;;;;
21;12803;53115;;;;;;
21;12852;10575;;;;;;
21;12902;31851;;;;;;
21;13009;31906;;;;;;
21;14007;41943;;;;;;
22;00053;6515;;;;;;
22;00103;5023;;;;;;
22;00202;18033;;;;;;
22;00251;6901;;;;;;
22;00277;4713;;;;;;
22;00301;13734;;;;;;
22;00400;49637;;;;;;
22;00459;5459;;;;;;
22;00509;17577;;;;;;
22;00608;6982;;;;;;
22;00707;9631;;;;;;
22;00806;3228;;;;;;
22;00905;5433;;;;;;
22;00954;2766;;;;;;
22;01002;4593;;;;;;
22;01051;7597;;;;;;
22;01101;11106;;;;;;
22;01150;13838;;;;;;
22;01176;4091;;;;;;
22;01200;49533;;;;;;
22;01309;3334;;;;;;
22;01408;6744;;;;;;
22;01507;27123;;;;;;
22;01556;4208;;;;;;
22;01572;3508;;;;;;
22;01606;10104;;;;;;
22;01705;5701;;;;;;
22;01739;6368;;;;;;
22;01770;7108;;;;;;
22;01804;4131;;;;;;
22;01903;30321;;;;;;
22;01919;5786;;;;;;
22;01929;6089;;;;;;
22;01945;6728;;;;;;
22;01960;8658;;;;;;
22;01988;3969;;;;;;
22;02000;20096;;;;;;
22;02026;7538;;;;;;
22;02059;10449;;;;;;
22;02075;3146;;;;;;
22;02083;8203;;;;;;
22;02091;5605;;;;;;
22;02109;4988;;;;;;
22;02117;4701;;;;;;
22;02133;6188;;;;;;
22;02174;7636;;;;;;
22;02208;47074;;;;;;
22;02251;3429;;;;;;
22;02307;19669;;;;;;
22;02406;11347;;;;;;
22;02455;4065;;;;;;
22;02505;10538;;;;;;
22;02539;5755;;;;;;
22;02554;5162;;;;;;
22;02604;19663;;;;;;
22;02653;5657;;;;;;
22;02703;29209;;;;;;
22;02711;5034;;;;;;
22;02729;6569;;;;;;
22;02737;4233;;;;;;
22;02752;6287;;;;;;
22;02778;7088;;;;;;
22;02802;5063;;;;;;
22;02851;4305;;;;;;
22;02901;28275;;;;;;
22;03008;7454;;;;;;
22;03107;10772;;;;;;
22;03206;11552;;;;;;
22;03230;4968;;;;;;
22;03255;4527;;;;;;
22;03271;5185;;;;;;
22;03305;16998;;;;;;
22;03354;7238;;;;;;
22;03404;6421;;;;;;
22;03420;4138;;;;;;
22;03453;9335;;;;;;
22;03503;13786;;;;;;
22;03602;4435;;;;;;
22;03701;42510;;;;;;
22;03750;5414;;;;;;
22;03800;4508;;;;;;
22;03859;2364;;;;;;
22;03909;64150;;;;;;
22;04006;4517;;;;;;
22;04105;4494;;;;;;
22;04154;2986;;;;;;
22;04204;8366;;;;;;
22;04303;10382;;;;;;
22;04352;5587;;;;;;
22;04402;11166;;;;;;
